,name,code,url,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,status,trend,full,info
0,EU,eu,eu,2022-01-01,587.927,3776.4337,15.57,3886.77,1996.2,-1890.6,1110.4209,11263.26,19556.25,E,0.17,52.95,[]
1,EU,eu,eu,2022-01-02,587.7294,3776.4337,15.56,2274.07,2475.2,201.2,1110.4433,11263.03,19557.61,E,-0.02,52.93,[]
2,EU,eu,eu,2022-01-03,586.1058,3776.4337,15.52,1590.44,3243.4,1652.9,1110.4599,11263.08,19559.39,E,-0.15,52.78,[]
3,EU,eu,eu,2022-01-04,583.2862,3776.4337,15.45,1180.44,4013.8,2833.4,1110.4599,11262.91,19559.83,E,-0.26,52.53,[]
4,EU,eu,eu,2022-01-05,579.1781,3776.4337,15.34,665.27,4840.1,4174.9,1110.4599,11263.09,19559.34,E,-0.38,52.16,[]
5,EU,eu,eu,2022-01-06,574.9189,3776.4337,15.22,517.17,5748.7,5231.6,1110.4599,11263.49,19558.28,E,-0.47,51.77,[]
6,EU,eu,eu,2022-01-07,569.2478,3776.4337,15.07,444.55,6113.1,5668.6,1110.4599,11263.83,19557.4,E,-0.51,51.26,[]
7,EU,eu,eu,2022-01-08,564.5277,3776.4337,14.95,494.66,5183.2,4688.5,1110.4599,11264.22,19556.37,E,-0.42,50.84,[]
8,EU,eu,eu,2022-01-09,559.8077,3776.4337,14.82,493.92,5196,4702.1,1110.4599,11264.64,19555.27,E,-0.42,50.41,[]
9,EU,eu,eu,2022-01-10,551.9385,3776.4337,14.62,321.45,7766.3,7444.8,1110.5941,11268.31,19560.87,E,-0.67,49.7,['/news/379']
10,EU,eu,eu,2022-01-11,544.068,3776.4337,14.41,337.38,8212.2,7874.8,1110.6449,11268.79,19563.8,E,-0.71,48.99,[]
11,EU,eu,eu,2022-01-12,536.0837,3776.4337,14.2,319.85,8298.2,7978.3,1110.6449,11269.23,19562.65,E,-0.72,48.27,[]
12,EU,eu,eu,2022-01-13,528.4318,3776.4337,13.99,380.57,8045.3,7664.7,1110.6449,11269.65,19561.54,E,-0.69,47.58,[]
13,EU,eu,eu,2022-01-14,520.7301,3776.4337,13.79,325.09,7972.7,7647.6,1110.6449,11269.46,19562.05,E,-0.69,46.89,[]
14,EU,eu,eu,2022-01-15,514.6891,3776.4337,13.63,498.76,6546,6047.3,1110.6449,11269.95,19560.76,E,-0.54,46.34,[]
15,EU,eu,eu,2022-01-16,509.3042,3776.4337,13.49,594.15,5961.8,5367.6,1110.6449,11270.45,19559.44,E,-0.48,45.86,[]
16,EU,eu,eu,2022-01-17,502.357,3776.4337,13.3,353.52,7325.4,6971.8,1110.5449,11268.37,19509.95,E,-0.63,45.24,[]
17,EU,eu,eu,2022-01-18,494.8076,3776.4337,13.1,326.52,7836.5,7510,1110.5449,11268.73,19552.55,E,-0.68,44.56,[]
18,EU,eu,eu,2022-01-19,488.0475,3776.4337,12.92,340.73,7305.7,6964.9,1110.5449,11269.28,19508.05,E,-0.63,43.95,[]
19,EU,eu,eu,2022-01-20,481.0003,3776.4337,12.74,293.44,7362.5,7069,1110.5449,11269.68,19492.91,E,-0.64,43.31,[]
20,EU,eu,eu,2022-01-21,473.5085,3776.4337,12.54,298.45,7793.5,7495,1110.5449,11270.08,19529.2,E,-0.67,42.64,[]
21,EU,eu,eu,2022-01-22,467.2321,3776.4337,12.37,366.17,6641.9,6275.7,1110.5449,11269.55,19530.58,E,-0.57,42.07,[]
22,EU,eu,eu,2022-01-23,461.2607,3776.4337,12.21,397.12,6246.3,5849.2,1110.5449,11269.97,19529.47,E,-0.53,41.53,[]
23,EU,eu,eu,2022-01-24,453.7256,3776.4337,12.01,317.47,7867.7,7550.2,1110.5229,11269.85,19494.08,E,-0.68,40.86,[]
24,EU,eu,eu,2022-01-25,445.9162,3776.4337,11.81,299.98,8109.6,7809.6,1110.5229,11270.25,19526.23,E,-0.7,40.15,[]
