,name,code,url,gasDayStart,inventory,sendOut,dtmi,dtrs,info,status
0,Belgium,BE,BE,2022-12-02,539.78,268.6,566,541,[],C
1,Belgium,BE,BE,2022-12-01,558.22,339.5,566,541,[],C
2,Belgium,BE,BE,2022-11-30,342.31,466.9,566,541,[],C
3,Belgium,BE,BE,2022-11-29,206.58,487.3,566,541,[],C
4,Belgium,BE,BE,2022-11-28,408.93,509.6,566,541,[],C
5,Belgium,BE,BE,2022-11-27,409.58,484.6,566,541,[],C
6,Belgium,BE,BE,2022-11-26,405.18,448.2,566,541,[],C
7,Belgium,BE,BE,2022-11-25,468.5,484.8,566,541,[],C
8,Belgium,BE,BE,2022-11-24,338.18,400.3,566,541,[],C
9,Belgium,BE,BE,2022-11-23,300.52,445.7,566,541,[],C
10,Belgium,BE,BE,2022-11-22,355,499.5,566,541,[],C
11,Belgium,BE,BE,2022-11-21,431.24,490.5,566,541,[],C
12,Belgium,BE,BE,2022-11-20,235.32,381.4,566,541,[],C
13,Belgium,BE,BE,2022-11-19,293.29,386.6,566,541,[],C
14,Belgium,BE,BE,2022-11-18,228.11,386.6,566,541,[],C
15,Belgium,BE,BE,2022-11-17,266.33,399.2,566,541,[],C
16,Belgium,BE,BE,2022-11-16,313.92,392.9,566,541,[],C
17,Belgium,BE,BE,2022-11-15,373.3,486.7,566,541,[],C
18,Belgium,BE,BE,2022-11-14,414.86,385.7,566,541,[],C
19,Belgium,BE,BE,2022-11-13,353.44,354.6,566,541,[],C
20,Belgium,BE,BE,2022-11-12,410.91,347,566,541,[],C
21,Belgium,BE,BE,2022-11-11,342.93,332,566,541,[],C
22,Belgium,BE,BE,2022-11-10,375.27,354.1,566,541,[],C
23,Belgium,BE,BE,2022-11-09,340.17,346.5,566,541,[],C
24,Belgium,BE,BE,2022-11-08,363.97,407.4,566,541,[],C
25,Belgium,BE,BE,2022-11-07,394.5,352.1,566,541,[],C
26,Belgium,BE,BE,2022-11-06,293.21,320.4,566,541,[],C
27,Belgium,BE,BE,2022-11-05,403.74,318.8,566,541,[],C
28,Belgium,BE,BE,2022-11-04,376.82,294.1,566,541,[],C
29,Belgium,BE,BE,2022-11-03,325.98,340.1,566,541,[],C
30,Belgium,BE,BE,2022-11-02,491.72,379.3,566,541,[],C
31,Belgium,BE,BE,2022-11-01,549.38,372.4,566,541,[],C
32,Belgium,BE,BE,2022-10-31,477.53,405.9,566,541,[],C
33,Belgium,BE,BE,2022-10-30,536.31,329.3,566,541,[],C
34,Belgium,BE,BE,2022-10-29,497.08,314.5,566,563.5,[],C
35,Belgium,BE,BE,2022-10-28,457.59,341,566,541,[],C
36,Belgium,BE,BE,2022-10-27,489.45,307.6,566,541,[],C
37,Belgium,BE,BE,2022-10-26,408.04,373,566,541,[],C
38,Belgium,BE,BE,2022-10-25,331.83,365.5,566,541,[],C
39,Belgium,BE,BE,2022-10-24,244.85,301,566,541,[],C
40,Belgium,BE,BE,2022-10-23,355.83,361.2,566,541,[],C
41,Belgium,BE,BE,2022-10-22,459.25,350.1,566,541,[],C
42,Belgium,BE,BE,2022-10-21,427.44,335.8,566,541,[],C
43,Belgium,BE,BE,2022-10-20,484.25,304.4,566,541,[],C
44,Belgium,BE,BE,2022-10-19,469.01,385.7,566,541,[],C
