,inventory,inventory,inventory,inventory,inventory,inventory,inventory,inventory,sendOut,sendOut,sendOut,sendOut,sendOut,sendOut,sendOut,sendOut
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
name,,,,,,,,,,,,,,,,
Belgium,600.0,3.8673124,0.9981767091575323,1.3021,3.248058,3.898992,4.51298,6.475352,600.0,330.6440000000003,108.56679531856375,3.7,291.52500000000003,347.3,404.8,521.0
Croatia,600.0,0.8664272,0.4092703401017126,0.08932,0.53331,0.8584,1.2238,1.57992,600.0,73.19366666666672,11.736653766083853,0.0,66.6,76.35,82.7,85.4
France,600.0,9.174863013333347,1.5472388276659579,5.180328,8.137632,9.240328,10.218498,14.10386,600.0,984.9320000000009,187.27827466884204,351.8,877.525,1033.25,1115.55,1344.6
Greece,600.0,1.7109574666666651,0.41366135693310174,0.400896,1.4631949999999998,1.684958,2.006249,2.698044,600.0,97.28566666666659,39.546465068168466,2.5,75.95,91.0,125.57499999999999,208.6
Italy,600.0,2.562866106666669,0.8092404231733643,0.61306,1.9442760000000001,2.572706,3.126925,6.855716,600.0,408.13333333333355,103.58651117649637,123.5,368.55,408.95,466.625,1366.0
Lithuania,600.0,0.972972426666666,0.48322774117907,0.053592,0.566515,1.00746,1.3854170000000001,1.852172,600.0,94.47599999999998,30.392853874077357,0.0,86.275,108.95,114.625,121.0
Netherlands,600.0,4.151216213333336,1.2082642699188284,1.427728,3.2800450000000003,4.034248,4.994583,7.083192,600.0,491.80866666666697,97.69207043528202,104.6,448.9,486.1,498.375,729.2
Poland,600.0,1.675912706666667,0.6150167702622049,0.0,1.2267,1.67446,2.167837,3.152996,600.0,183.61900000000063,46.17586335154381,0.0,168.8,191.1,220.0,229.1
Portugal,600.0,3.2109167333333315,0.7964936358289137,0.62118,2.6943900000000003,3.288832,3.7898650000000003,4.660996,600.0,166.55900000000003,35.02466889758763,45.8,146.45,177.14999999999998,192.85000000000002,216.0
Spain,600.0,25.54345172000001,6.134121090610392,11.394564,22.057371,27.793309999999998,29.989857,34.35804,600.0,758.7256666666676,172.32065436589627,282.3,646.675,752.35,872.975,1217.0
