,Unnamed: 0,name,code,url,gasDayStart,inventory,sendOut,dtmi,dtrs,info,status,percentage Inventory to DTMI,percentage sendOut of DTRS
0,0,Belgium,BE,BE,2022-12-02,6.261448,268.6,6.5656,541.0,[],C,95.36749116607773,49.648798521256936
1,1,Belgium,BE,BE,2022-12-01,6.475352,339.5,6.5656,541.0,[],C,98.62544169611309,62.75415896487985
2,2,Belgium,BE,BE,2022-11-30,3.970796,466.9,6.5656,541.0,[],C,60.47879858657244,86.30314232902033
3,3,Belgium,BE,BE,2022-11-29,2.396328,487.3,6.5656,541.0,[],C,36.49823321554771,90.07393715341959
4,4,Belgium,BE,BE,2022-11-28,4.743588,509.6,6.5656,541.0,[],C,72.24911660777386,94.19593345656193
5,5,Belgium,BE,BE,2022-11-27,4.751128,484.6,6.5656,541.0,[],C,72.36395759717314,89.57486136783734
6,6,Belgium,BE,BE,2022-11-26,4.700088,448.2,6.5656,541.0,[],C,71.58657243816255,82.84658040665434
7,7,Belgium,BE,BE,2022-11-25,5.4346,484.8,6.5656,541.0,[],C,82.773851590106,89.61182994454714
8,8,Belgium,BE,BE,2022-11-24,3.922888,400.3,6.5656,541.0,[],C,59.74911660777386,73.99260628465805
9,9,Belgium,BE,BE,2022-11-23,3.486032,445.7,6.5656,541.0,[],C,53.09540636042402,82.38447319778189
10,10,Belgium,BE,BE,2022-11-22,4.118,499.5,6.5656,541.0,[],C,62.72084805653711,92.32902033271719
11,11,Belgium,BE,BE,2022-11-21,5.002384,490.5,6.5656,541.0,[],C,76.19081272084806,90.66543438077635
12,12,Belgium,BE,BE,2022-11-20,2.729712,381.4,6.5656,541.0,[],C,41.57597173144877,70.49907578558225
13,13,Belgium,BE,BE,2022-11-19,3.402164,386.6,6.5656,541.0,[],C,51.81802120141343,71.46025878003698
14,14,Belgium,BE,BE,2022-11-18,2.646076,386.6,6.5656,541.0,[],C,40.302120141342755,71.46025878003698
15,15,Belgium,BE,BE,2022-11-17,3.089428,399.2,6.5656,541.0,[],C,47.0547703180212,73.78927911275416
16,16,Belgium,BE,BE,2022-11-16,3.641472,392.9,6.5656,541.0,[],C,55.46289752650176,72.62476894639556
17,17,Belgium,BE,BE,2022-11-15,4.33028,486.7,6.5656,541.0,[],C,65.95406360424029,89.96303142329019
18,18,Belgium,BE,BE,2022-11-14,4.812376,385.7,6.5656,541.0,[],C,73.29681978798588,71.29390018484288
19,19,Belgium,BE,BE,2022-11-13,4.099904,354.6,6.5656,541.0,[],C,62.44522968197881,65.54528650646951
20,20,Belgium,BE,BE,2022-11-12,4.766556,347.0,6.5656,541.0,[],C,72.59893992932862,64.14048059149722
21,21,Belgium,BE,BE,2022-11-11,3.977988,332.0,6.5656,541.0,[],C,60.58833922261484,61.367837338262476
22,22,Belgium,BE,BE,2022-11-10,4.353132,354.1,6.5656,541.0,[],C,66.30212014134274,65.452865064695
23,23,Belgium,BE,BE,2022-11-09,3.945972,346.5,6.5656,541.0,[],C,60.100706713780916,64.04805914972273
24,24,Belgium,BE,BE,2022-11-08,4.222052,407.4,6.5656,541.0,[],C,64.30565371024734,75.30499075785582
25,25,Belgium,BE,BE,2022-11-07,4.5762,352.1,6.5656,541.0,[],C,69.69964664310955,65.08317929759706
26,26,Belgium,BE,BE,2022-11-06,3.401236,320.4,6.5656,541.0,[],C,51.80388692579505,59.22365988909427
27,27,Belgium,BE,BE,2022-11-05,4.683384,318.8,6.5656,541.0,[],C,71.3321554770318,58.9279112754159
28,28,Belgium,BE,BE,2022-11-04,4.371112,294.1,6.5656,541.0,[],C,66.57597173144877,54.362292051756015
29,29,Belgium,BE,BE,2022-11-03,3.781368,340.1,6.5656,541.0,[],C,57.593639575971736,62.865064695009245
30,30,Belgium,BE,BE,2022-11-02,5.703952,379.3,6.5656,541.0,[],C,86.87632508833923,70.11090573012939
31,31,Belgium,BE,BE,2022-11-01,6.372808,372.4,6.5656,541.0,[],C,97.06360424028269,68.8354898336414
32,32,Belgium,BE,BE,2022-10-31,5.539348,405.9,6.5656,541.0,[],C,84.36925795053004,75.02772643253233
33,33,Belgium,BE,BE,2022-10-30,6.221196,329.3,6.5656,541.0,[],C,94.75441696113074,60.868761552680226
34,34,Belgium,BE,BE,2022-10-29,5.766128,314.5,6.5656,563.5,[],C,87.82332155477032,55.81188997338066
35,35,Belgium,BE,BE,2022-10-28,5.308044,341.0,6.5656,541.0,[],C,80.84628975265018,63.03142329020333
36,36,Belgium,BE,BE,2022-10-27,5.67762,307.6,6.5656,541.0,[],C,86.47526501766785,56.85767097966728
37,37,Belgium,BE,BE,2022-10-26,4.733264,373.0,6.5656,541.0,[],C,72.09187279151944,68.94639556377079
38,38,Belgium,BE,BE,2022-10-25,3.849228,365.5,6.5656,541.0,[],C,58.62720848056537,67.56007393715342
39,39,Belgium,BE,BE,2022-10-24,2.84026,301.0,6.5656,541.0,[],C,43.25971731448763,55.637707948244
40,40,Belgium,BE,BE,2022-10-23,4.127628,361.2,6.5656,541.0,[],C,62.86749116607774,66.76524953789279
41,41,Belgium,BE,BE,2022-10-22,5.3273,350.1,6.5656,541.0,[],C,81.13957597173145,64.71349353049908
42,42,Belgium,BE,BE,2022-10-21,4.958304,335.8,6.5656,541.0,[],C,75.51943462897526,62.07024029574861
43,43,Belgium,BE,BE,2022-10-20,5.6173,304.4,6.5656,541.0,[],C,85.55653710247351,56.266173752310536
44,44,Belgium,BE,BE,2022-10-19,5.440516,385.7,6.5656,541.0,[],C,82.86395759717314,71.29390018484288
45,45,Belgium,BE,BE,2022-10-18,5.258396,225.7,6.5656,541.0,[],C,80.09010600706713,41.71903881700555
46,46,Belgium,BE,BE,2022-10-17,5.594564,410.2,6.5656,541.0,[],C,85.21024734982332,75.82255083179298
47,47,Belgium,BE,BE,2022-10-16,4.819684,389.4,6.5656,541.0,[],C,73.40812720848055,71.97781885397411
48,48,Belgium,BE,BE,2022-10-15,4.637332,387.4,6.630328,541.0,[],C,69.94121557787184,71.60813308687615
49,49,Belgium,BE,BE,2022-10-14,3.772204,455.9,6.5656,541.0,[],C,57.45406360424028,84.26987060998151
50,50,Belgium,BE,BE,2022-10-13,5.01178,444.5,6.5656,541.0,[],C,76.3339222614841,82.1626617375231
51,51,Belgium,BE,BE,2022-10-12,5.008068,479.2,6.5656,541.0,[],C,76.2773851590106,88.57670979667283
52,52,Belgium,BE,BE,2022-10-11,4.08726,464.4,6.5656,541.0,[],C,62.252650176678436,85.84103512014786
53,53,Belgium,BE,BE,2022-10-10,3.662004,415.6,6.5656,541.0,[],C,55.7756183745583,76.82070240295748
54,54,Belgium,BE,BE,2022-10-09,4.092364,379.1,6.5656,541.0,[],C,62.33038869257951,70.07393715341959
55,55,Belgium,BE,BE,2022-10-08,4.09248,379.1,6.5656,541.0,[],C,62.332155477031804,70.07393715341959
56,56,Belgium,BE,BE,2022-10-07,3.381748,385.9,6.5656,541.0,[],C,51.507067137809194,71.33086876155268
57,57,Belgium,BE,BE,2022-10-06,4.06174,354.5,6.5656,541.0,[],C,61.86395759717315,65.5268022181146
58,58,Belgium,BE,BE,2022-10-05,3.312612,212.3,6.5656,541.0,[],C,50.45406360424028,39.24214417744917
59,59,Belgium,BE,BE,2022-10-04,2.839796,291.3,6.5656,541.0,[],C,43.25265017667845,53.84473197781886
60,60,Belgium,BE,BE,2022-10-03,3.39996,406.2,6.5656,541.0,[],C,51.784452296819794,75.08317929759704
61,61,Belgium,BE,BE,2022-10-02,4.201868,415.5,6.5656,541.0,[],C,63.99823321554771,76.80221811460258
62,62,Belgium,BE,BE,2022-10-01,5.105044,425.6,6.5656,541.0,[],C,77.75441696113074,78.66913123844732
63,63,Belgium,BE,BE,2022-09-30,4.79254,344.0,6.5656,541.0,[],C,72.99469964664311,63.58595194085028
64,64,Belgium,BE,BE,2022-09-29,4.588032,423.0,6.5656,541.0,[],C,69.87985865724382,78.18853974121997
65,65,Belgium,BE,BE,2022-09-28,4.177856,433.7,6.5656,541.0,[],C,63.632508833922266,80.16635859519408
66,66,Belgium,BE,BE,2022-09-27,3.954904,425.7,6.5656,541.0,[],C,60.23674911660778,78.68761552680222
67,67,Belgium,BE,BE,2022-09-26,4.648932,466.5,6.5656,541.0,[],C,70.80742049469966,86.22920517560074
68,68,Belgium,BE,BE,2022-09-25,5.329156,353.6,6.5656,541.0,[],C,81.1678445229682,65.36044362292051
69,69,Belgium,BE,BE,2022-09-24,4.5269,356.8,6.5656,541.0,[],C,68.94876325088339,65.95194085027727
70,70,Belgium,BE,BE,2022-09-23,5.18926,414.2,6.5656,541.0,[],C,79.03710247349824,76.5619223659889
71,71,Belgium,BE,BE,2022-09-22,4.709484,399.4,6.5656,541.0,[],C,71.72968197879858,73.82624768946395
72,72,Belgium,BE,BE,2022-09-21,2.765324,386.7,6.5656,541.0,[],C,42.11837455830389,71.47874306839186
73,73,Belgium,BE,BE,2022-09-20,3.453552,370.7,6.5656,541.0,[],C,52.60070671378092,68.52125693160814
74,74,Belgium,BE,BE,2022-09-19,2.735396,370.1,6.5656,541.0,[],C,41.66254416961131,68.41035120147875
75,75,Belgium,BE,BE,2022-09-18,3.171324,276.5,6.5656,541.0,[],C,48.302120141342755,51.1090573012939
76,76,Belgium,BE,BE,2022-09-17,3.055904,245.8,6.5656,541.0,[],C,46.544169611307424,45.43438077634011
77,77,Belgium,BE,BE,2022-09-16,3.513408,181.6,6.5656,541.0,[],C,53.51236749116608,33.567467652495374
78,78,Belgium,BE,BE,2022-09-15,3.898412,4.0,6.5656,541.0,[],C,59.37632508833922,0.7393715341959335
79,79,Belgium,BE,BE,2022-09-14,3.910244,5.2,6.5656,541.0,[],C,59.55653710247349,0.9611829944547136
80,80,Belgium,BE,BE,2022-09-13,3.922192,3.7,6.5656,541.0,[],C,59.738515901060076,0.6839186691312384
81,81,Belgium,BE,BE,2022-09-12,3.93356,4.4,6.5656,541.0,[],C,59.91166077738516,0.8133086876155269
82,82,Belgium,BE,BE,2022-09-11,3.945508,4.8,6.5656,541.0,[],C,60.09363957597172,0.88724584103512
83,83,Belgium,BE,BE,2022-09-10,3.955368,4.4,6.5656,541.0,[],C,60.24381625441696,0.8133086876155269
84,84,Belgium,BE,BE,2022-09-09,3.965344,6.4,6.5656,541.0,[],C,60.39575971731449,1.1829944547134936
85,85,Belgium,BE,BE,2022-09-08,3.982628,408.4,6.5656,541.0,[],C,60.65901060070672,75.4898336414048
86,86,Belgium,BE,BE,2022-09-07,3.722672,425.8,6.5656,541.0,[],C,56.699646643109546,78.70609981515712
87,87,Belgium,BE,BE,2022-09-06,3.543684,439.4,6.5656,541.0,[],C,53.973498233215544,81.21996303142328
88,88,Belgium,BE,BE,2022-09-05,4.140968,333.0,6.5656,541.0,[],C,63.070671378091866,61.552680221811464
89,89,Belgium,BE,BE,2022-09-04,2.9794600000000004,252.1,6.5656,541.0,[],C,45.37985865724382,46.59889094269871
90,90,Belgium,BE,BE,2022-09-03,3.492064,261.5,6.5656,541.0,[],C,53.187279151943464,48.336414048059154
91,91,Belgium,BE,BE,2022-09-02,3.87672,369.0,6.5656,541.0,[],C,59.045936395759725,68.20702402957485
92,92,Belgium,BE,BE,2022-09-01,4.415888,322.8,7.337464,541.0,[],C,60.182755240775286,59.667282809611834
93,93,Belgium,BE,BE,2022-08-31,4.410436,314.9,6.5656,541.0,[],C,67.17491166077738,58.20702402957486
94,94,Belgium,BE,BE,2022-08-30,3.634628,263.4,6.5656,541.0,[],C,55.35865724381625,48.68761552680221
95,95,Belgium,BE,BE,2022-08-29,4.109416,273.1,6.5656,541.0,[],C,62.59010600706715,50.48059149722736
96,96,Belgium,BE,BE,2022-08-28,3.158564,224.3,6.5656,541.0,[],C,48.10777385159011,41.460258780036966
97,97,Belgium,BE,BE,2022-08-27,3.348572,254.2,6.5656,541.0,[],C,51.00176678445229,46.98706099815157
98,98,Belgium,BE,BE,2022-08-26,3.67778,325.1,6.5656,541.0,[],C,56.015901060070675,60.09242144177449
99,99,Belgium,BE,BE,2022-08-25,4.221704,320.6,6.5656,541.0,[],C,64.30035335689045,59.26062846580407
100,100,Belgium,BE,BE,2022-08-24,3.396016,322.0,6.5656,541.0,[],C,51.724381625441694,59.51940850277264
101,101,Belgium,BE,BE,2022-08-23,3.722904,331.3,6.5656,541.0,[],C,56.70318021201414,61.23844731977819
102,102,Belgium,BE,BE,2022-08-22,4.32912,321.1,6.5656,541.0,[],C,65.93639575971731,59.35304990757856
103,103,Belgium,BE,BE,2022-08-21,3.309596,291.3,6.5656,541.0,[],C,50.40812720848057,53.84473197781886
104,104,Belgium,BE,BE,2022-08-20,5.124184,293.0,6.5656,541.0,[],C,78.04593639575972,54.15896487985212
105,105,Belgium,BE,BE,2022-08-19,5.589112,325.9,6.5656,541.0,[],C,85.12720848056537,60.24029574861367
106,106,Belgium,BE,BE,2022-08-18,3.253916,341.6,6.561308,541.0,[],C,49.59248979014549,63.142329020332724
107,107,Belgium,BE,BE,2022-08-17,3.852128,405.7,6.5656,541.0,[],C,58.671378091872796,74.99075785582255
108,108,Belgium,BE,BE,2022-08-16,3.670356,329.7,6.5656,541.0,[],C,55.90282685512368,60.94269870609982
109,109,Belgium,BE,BE,2022-08-15,2.613132,325.0,6.5656,541.0,[],C,39.800353356890454,60.0739371534196
110,110,Belgium,BE,BE,2022-08-14,3.230484,338.5,6.5656,541.0,[],C,49.20318021201414,62.569316081330875
111,111,Belgium,BE,BE,2022-08-13,3.805844,321.4,6.5656,541.0,[],C,57.96643109540636,59.408502772643246
112,112,Belgium,BE,BE,2022-08-12,2.087188,183.5,6.5656,541.0,[],C,31.789752650176677,33.91866913123845
113,113,Belgium,BE,BE,2022-08-11,2.172448,521.0,6.5656,541.0,[],C,33.08833922261484,96.30314232902033
114,114,Belgium,BE,BE,2022-08-10,3.19116,214.2,6.5656,541.0,[],C,48.60424028268551,39.593345656192234
115,115,Belgium,BE,BE,2022-08-09,3.587532,257.0,6.5656,541.0,[],C,54.64134275618374,47.504621072088725
116,116,Belgium,BE,BE,2022-08-08,2.440756,326.6,6.5656,541.0,[],C,37.17491166077738,60.36968576709797
117,117,Belgium,BE,BE,2022-08-07,3.063792,293.7,6.5656,541.0,[],C,46.6643109540636,54.28835489833641
118,118,Belgium,BE,BE,2022-08-06,3.484408,317.5,6.5656,541.0,[],C,53.07067137809187,58.68761552680222
119,119,Belgium,BE,BE,2022-08-05,3.988776,336.0,6.5656,541.0,[],C,60.75265017667844,62.10720887245841
120,120,Belgium,BE,BE,2022-08-04,4.596732,477.2,6.5656,541.0,[],C,70.01236749116609,88.20702402957485
121,121,Belgium,BE,BE,2022-08-03,5.373468,365.9,6.5656,541.0,[],C,81.84275618374558,67.63401109057301
122,122,Belgium,BE,BE,2022-08-02,3.483596,382.8,6.5656,541.0,[],C,53.05830388692579,70.75785582255082
123,123,Belgium,BE,BE,2022-08-01,4.149436,364.7,6.5656,541.0,[],C,63.19964664310954,67.41219963031423
124,124,Belgium,BE,BE,2022-07-31,3.168076,295.0,6.538688,541.0,[],C,48.451248935566284,54.5286506469501
125,125,Belgium,BE,BE,2022-07-30,2.173956,289.5,6.5656,541.0,[],C,33.111307420494704,53.51201478743069
126,126,Belgium,BE,BE,2022-07-29,2.584596,307.4,6.5656,541.0,[],C,39.36572438162544,56.82070240295748
127,127,Belgium,BE,BE,2022-07-28,3.132232,372.4,6.5656,541.0,[],C,47.70671378091873,68.8354898336414
128,128,Belgium,BE,BE,2022-07-27,3.784268,392.2,6.5656,541.0,[],C,57.63780918727915,72.49537892791128
129,129,Belgium,BE,BE,2022-07-26,3.187564,384.1,6.5656,541.0,[],C,48.54946996466431,70.99815157116451
130,130,Belgium,BE,BE,2022-07-25,3.573496,389.6,6.5656,541.0,[],C,54.427561837455826,72.01478743068392
131,131,Belgium,BE,BE,2022-07-24,4.319028,417.4,6.5656,541.0,[],C,65.7826855123675,77.15341959334565
132,132,Belgium,BE,BE,2022-07-23,3.1813,342.5,6.693432,541.0,[],C,47.528681848116186,63.30868761552681
133,133,Belgium,BE,BE,2022-07-22,3.776844,433.7,6.5656,541.0,[],C,57.52473498233216,80.16635859519408
134,134,Belgium,BE,BE,2022-07-21,4.437232,391.7,6.5656,541.0,[],C,67.58303886925795,72.40295748613677
135,135,Belgium,BE,BE,2022-07-20,3.572452,430.2,6.5656,541.0,[],C,54.411660777385165,79.51940850277263
136,136,Belgium,BE,BE,2022-07-19,4.22356,413.4,6.5656,541.0,[],C,64.32862190812722,76.41404805914972
137,137,Belgium,BE,BE,2022-07-18,3.410052,418.7,6.5656,541.0,[],C,51.93816254416961,77.39371534195934
138,138,Belgium,BE,BE,2022-07-17,4.063016,347.6,6.5656,541.0,[],C,61.883392226148416,64.25138632162663
139,139,Belgium,BE,BE,2022-07-16,4.438624,364.9,6.5656,541.0,[],C,67.60424028268551,67.44916820702403
140,140,Belgium,BE,BE,2022-07-15,3.788908,428.7,6.5656,541.0,[],C,57.708480565371026,79.24214417744918
141,141,Belgium,BE,BE,2022-07-14,4.59534,404.8,6.5656,541.0,[],C,69.99116607773853,74.82439926062847
142,142,Belgium,BE,BE,2022-07-13,4.005016,419.7,6.5656,541.0,[],C,61.00000000000001,77.57855822550832
143,143,Belgium,BE,BE,2022-07-12,4.35986,413.2,6.5656,541.0,[],C,66.40459363957598,76.37707948243992
